Time,Wind(knotsbft),Gust(knotsbft),Wind Direction(deg)
08/15 4:49:49,3.9,6,92
08/15 4:51:49,2.7,3.9,103
08/15 4:53:49,4.1,5.1,91
08/15 4:55:49,3.3,3.9,77
08/15 4:57:49,2.1,2.9,87
08/15 4:59:49,3.1,3.9,101
08/15 5:01:49,2.1,2.9,102
08/15 5:03:49,1.7,1.9,102
08/15 5:05:49,2.9,3.9,103
08/15 5:07:49,3.5,3.9,103
08/15 5:09:49,2.7,3.9,110
08/15 5:11:49,1,1,117
08/15 5:13:49,3.5,3.9,93
08/15 5:15:49,2.5,2.9,85
08/15 5:17:49,2.1,2.9,85
08/15 5:19:49,1,1,84
08/15 5:21:49,0,0,84
08/15 5:23:49,1,1,84
08/15 5:25:49,1,1,84
08/15 5:27:49,1.6,1.9,84
08/15 5:29:49,0.4,1,84
08/15 5:31:49,0.4,1,84
08/15 5:33:49,0.2,1,84
08/15 5:35:49,0.4,1,84
08/15 5:37:49,0.8,1,84
08/15 5:39:49,0.6,1,84
08/15 5:41:49,0,0,84
